Complaint,DateOccur,Crime,Description,ILEADSAddress,ILEADSStreet,Generic Crime,Latitude,Longitude
21-000043,1/1/2011 2:00,72140,AUTO THEFT-TRUCK/PERM RETNT/ATTEMPT               ,2725,WATSON,Motor Vehicle Theft,38.5951803,-90.3011959
20-057309,1/1/2019 8:00,115400,STLG BY DECEIT/IDENTITY THEFT REPORT              ,809,CLARENDON,Other Crime,38.656346,-90.2699774
20-054345,1/1/2019 12:00,112010,FRAUD-CREDIT DEVICE/OVER $150                     ,456,FAIR AVE,Fraud,38.6704979,-90.2259802
20-055184,1/1/2020 0:01,21000,RAPE -- FORCIBLE                                  ,17,22ND,Rape,38.6270025,-90.1994042
20-054871,1/7/2020 20:00,65701,LARCENY-MTR VEH PARTS UNDER $500                  ,nan,BAYARD AVE / DR MARTIN LUTHER,Larceny,38.6615943,-90.2572691
20-054240,2/1/2020 12:00,66601,"LARCENY-BICYCLES $500 - $24,999                   ",4939,CHILDRENS PL,Larceny,38.6365731,-90.2625516
20-055764,2/8/2020 14:30,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,6129,GOODFELLOW,Motor Vehicle Theft,38.6762544,-90.2737423
20-008492,2/18/2020 18:30,152200,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,435,LABADIE,Weapons Offense,38.6690046,-90.2487651
20-058088,2/20/2014 0:01,179210,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE          ,14,CASS,Other Crime,38.6437141,-90.2063823
20-009293,2/24/2020 21:38,152200,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,4551,ADELAIDE,Weapons Offense,38.6783252,-90.2135908
20-009297,2/24/2020 22:32,152200,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,4411,HARRIS,Weapons Offense,38.6270025,-90.1994042
20-057307,3/1/2020 13:00,115400,STLG BY DECEIT/IDENTITY THEFT REPORT              ,4201,WALSH,Other Crime,38.6270025,-90.1994042
20-057665,3/10/2020 7:00,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,4928,MARDEL,Motor Vehicle Theft,38.5952914,-90.2957326
